titles,likes,date,images
"['Where does Content Fit in the Evolution of Hotel Distribution?', ""Boost Your Hotel's Online Presence with a Hotel Content Management System"", 'Streamline Your Hotel Pricing Strategy with Advanced Rate Shopping Software', 'Dynamic Pricing Strategy in Hotels for Hospitality Industry', 'Hotel Pricing Strategy: Maximizing Revenue Through Effective Pricing Techniques', 'How To Use Google Hotel Ads: A Complete Guide', 'Boost Your Hotel Revenue with Efficient Hotel Inventory Management', 'Cracking the Code: How to Benefit from Hotel Wholesalers', '8 Easy Tips for Hotel Revenue Managers to Cope With Rate Parity Issues']","['3', '2', '2', '10', '5', '5', '6', '5', '6']","['MAY 20, 2023', 'MAY 19, 2023', 'MAY 18, 2023', 'MAY 18, 2023', 'MAY 18, 2023', 'MAY 18, 2023', 'MAY 16, 2023', 'MAY 16, 2023', 'MAY 15, 2023']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Adapting-Hotel-Distribution-Mastering-Content-Management-for-Success.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Boost-your-Online-Presence-with-a-Hotel-Content-Management-System.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Streamlining-Hotel-Pricing-Strategy-with-Advanced-Rate-Shopping-Software.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2016/10/Dynamic-Pricing-Strategy-for-the-Hospitality-Industry.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Pricing-Strategy-1-Hotel-Pricing-Strategy-for-Revenue-Maximization.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Google-Hotel-Ads-_1-How-to-use-Google-Hotel-Ads-A-Complete-Guide.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Inventory-Management-4-Boost-your-Hotel-Revenue-with-Efficient-Hotel-Inventory-Management.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Inventory-Management-3-How-can-you-Benefit-from-Hotel-Wholesalers.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Rate-Parity-_2-Important-Tips-to-cope-up-with-Rate-Parity-Issues.webp']"
"['What is Hotel Rate Parity? Why is it Important in the Hotel Industry?', '18 Factors to Consider before Investing in Channel Manager for Your Hotel', 'Crucial Hotel Sales Strategies to Boost Occupancy and Revenue', 'What is a Hotel Channel Manager? How Do You Choose the Perfect One?', 'How Can Content Solve The Expectation Gap for Hotels?', 'Changing Markets Post-Pandemic: Guest Behaviors Changing Booking Inspiration', 'What is Hotel Occupancy Rate? How to Calculate it?', 'Is RevPAR the Best Metric to Measure Profitability?', 'Why Should Hotels Update Content On OTAs Frequently?']","['5', '4', '4', '5', '5', '4', '7', '4', '5']","['MAY 15, 2023', 'MAY 14, 2023', 'MAY 14, 2023', 'MAY 14, 2023', 'MAY 13, 2023', 'MAY 11, 2023', 'MAY 6, 2023', 'MAY 5, 2023', 'MAY 5, 2023']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Rate-Parity-_1-What-is-Hotel-Rate-Parity-Why-is-it-Important.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2016/03/Channel-Management-2-Critical-Factors-to-Consider-before-you-Invest-in-a-Hotel-Channel-Manager.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Hotel-Sales-Strategy-Crucial-Hotel-Sales-Strategies-to-Boost-Occupancy-and-Revenue.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Channel-Management-1-What-is-a-channel-manager.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Content-Management-5-How-Can-Content-Solve-The-Expectation-Gap-for-Hotels.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Changing-Markets-Post-Pandemic-Guest-Behaviors-Changing-Booking-Inspiration.png', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Occupancy-Rate-and-calculation.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Is-RevPAR-the-Best-Metric-to-Measure-Profitability-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Content-Management-4-Why-Should-Hotels-Update-Content-on-OTAs-Frequently.webp']"
"['Why Metasearch is critical for your Direct Bookings Strategy', 'Why Content on OTAs is Critical for Improving Conversion Rates', 'How do Hotels Distribute Inventory to Drive Bookings', 'What is RevPAR ? Why does it Matter?', 'A Complete Guide to Hotel Marketing Strategy for 2023', 'Latin America’s Hospitality Industry is Ready to Take the AI Leap into the Future', 'Sustainability: The Conversation We Need To Have With ChatGPT Today', ""Here's Why You Should Care About Hotel Content Management & Distribution"", 'Why Ease of Use is the Core of any Booking Engine?']","['4', '4', '4', '4', '3', '4', '4', '7', '7']","['MAY 4, 2023', 'MAY 3, 2023', 'MAY 3, 2023', 'MAY 1, 2023', 'APRIL 30, 2023', 'APRIL 27, 2023', 'APRIL 27, 2023', 'APRIL 22, 2023', 'APRIL 15, 2023']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Why-Metasearch-is-critical-for-your-hotels-Direct-Bookings-Strategy-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Content-Management-3-Why-Content-on-OTAs-is-Critical-for-Improving-Conversion-Rates-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/How-do-Hotels-Distribute-Inventory-to-Drive-Bookings-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/What-is-RevPAR-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/01/A-Complete-Guide-to-Hotel-Marketing-Strategy-_1_.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/04/Latin-Americas-Hospitality-Industry-is-Ready-to-Take-the-AI-Leap-into-the-Future-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/06/Kamesh-Shukla-on-Sustainable-Travel.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/04/Content-Management-2-Why-Should-You-Care-About-Hotel-Content-Management-Distribution-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/04/Why-Ease-of-Use-is-the-Core-of-any-Booking-Engine.webp']"
"['Why is Security Critical for a Booking Engine?', 'Thank You Booking.com For Showing Us The Future', 'How to Evaluate a Booking Engine?', 'All You Need to Know About a Hotel Booking Engine', 'Revolutionizing Guest Experiences and Revenue Management with AI', 'What is Direct Booking?', 'The Relevance of Content for Hotels', 'Leading the Way: Top 8 Hospitality Technology Trends to Watch in 2023', 'A Complete Guide to Hotel Connectivity & Distribution']","['7', '4', '7', '3', '9', '9', '4', '6', '3']","['APRIL 14, 2023', 'APRIL 13, 2023', 'APRIL 13, 2023', 'APRIL 12, 2023', 'APRIL 6, 2023', 'APRIL 5, 2023', 'APRIL 1, 2023', 'MARCH 21, 2023', 'MARCH 21, 2023']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/Why-is-Security-Critical-for-a-Hotel-Booking-Engine-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/04/boooking-com-blog-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/How-do-you-Evaluate-a-Hotel-Booking-Engine-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/All-You-Need-to-Know-About-a-Hotel-Booking-Engine-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/04/MicrosoftTeams-image-8.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/04/what-is-a-direct-booking.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/04/Content-Management-1-What-is-the-Relevance-of-Content-for-Hotels-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/03/MicrosoftTeams-image-2-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/03/A-Complete-Guide-to-Hotel-Connectivity-_-Distribution.webp']"
"['Revolutionizing the Hospitality Industry: The Role of Advanced Channel Managers in Driving Hotel Business Growth', 'What are Hotel Industry Statistics?', 'The Data Goldmine: The 3 Step Process to Unlocking the Power of Guest Data', 'How To Use Guest Messaging To Improve Revenue', 'Spin Around the Challenges of an Economic Downturn with AI-Enabled Solutions', 'What is a Hotel Property Management System (PMS)?', 'Unlocking A New Level Of Luxury For Dubai: The Rising Need For Technology', 'Troubleshooting Guest Engagement: Is the Answer in the Palm of your Hands?', 'No Shortage of Guest Engagement Despite Labour Shortage in the UK: Why Technology is the Answer']","['4', '4', '4', '4', '3', '4', '3', '5', '4']","['MARCH 16, 2023', 'MARCH 6, 2023', 'FEBRUARY 15, 2023', 'JANUARY 31, 2023', 'JANUARY 30, 2023', 'JANUARY 23, 2023', 'JANUARY 20, 2023', 'JANUARY 6, 2023', 'DECEMBER 23, 2022']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/03/MicrosoftTeams-image-3-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/05/What-are-the-Key-Hotel-Industry-Statistics-scaled.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/02/MicrosoftTeams-image-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/01/How-To-Use-Guest-Messaging-To-Improve-Revenue.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/01/MicrosoftTeams-image.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2019/04/hotel-revenue-management-system-900x450.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/01/creating-a-picture-perfect-guest-experience-in-dubai.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2023/01/MicrosoftTeams-image-6.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/12/uk-banner-1.jpg']"
"['Journey to better guest satisfaction: Why digitisation is the shortcut you need', '7 Tips for A Booking-friendly Hotel Website', 'The Problem In Paradise: What The Hotels Of Maldives Need To Know', 'The Good Side Of AI: Read Between The Lines To Understand Your Guests’ Feelings', 'Preparing for the Future of Air Travel Demand', 'Digital Hospitality: No Longer An Oxymoron', 'Peak Experience For The Peak Season', 'Forward-looking Insights on Travel Demand: Top Trending Cities in Asia (Oct – Dec 2022)', 'Guest Dissatisfaction: De-mystified']","['3', '3', '3', '2', '1', '1', '2', '2', '2']","['DECEMBER 16, 2022', 'DECEMBER 12, 2022', 'DECEMBER 6, 2022', 'NOVEMBER 11, 2022', 'NOVEMBER 4, 2022', 'NOVEMBER 3, 2022', 'OCTOBER 27, 2022', 'OCTOBER 24, 2022', 'OCTOBER 19, 2022']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/12/engage-banner-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/12/7-tips-for-a-booking-friendly-hotel-website-blog-banner.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/12/Top-banner-2.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/11/sentiment-mapping-1-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/10/Preparing-for-the-Future-of-Air-Travel-Demand.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/11/Digital-Hosp_Banner-1-scaled.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/10/Peak-Experience-For-Peak-Season.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/10/Forward-looking-Insights-on-Travel-Demand-Top-Trending-Cities-in-Asia.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/10/Guest-Dissatisfaction.webp']"
"['Beyond Just Emojis: Leveraging WhatsApp To Improve Guest Experience', 'Experiences Above All: The Long and Short of Guest Experiences', 'Humans Of RateGain: Q&A With Mark Haywood', 'India’s Festive Season Travel Outlook', 'Productivity For The Front Desk: What Has Changed', 'How Can Scoring Content Help Hotels Drive More Bookings', 'New Data Sources To Help Commercial Teams Make Better Decisions', 'Hotel Online Bookings Can Be More Profitable', 'Bridging Silos in Commercial Teams Post Pandemic']","['2', '1', '1', '2', '3', '3', '3', '3', '7']","['OCTOBER 11, 2022', 'OCTOBER 6, 2022', 'OCTOBER 4, 2022', 'OCTOBER 3, 2022', 'SEPTEMBER 27, 2022', 'SEPTEMBER 20, 2022', 'SEPTEMBER 20, 2022', 'SEPTEMBER 20, 2022', 'AUGUST 25, 2022']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/10/beyond-just-blog-img.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/10/guests-experience.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/10/Rategain-Partnership.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/10/ezgif.com-gif-maker-6.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/09/Productivity-For-The-Front-Desk-What-Has-Changed.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/09/Drive-more-bookings.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/09/New-Data-Sources-that-can-help-commercial-teams-make-better-decisions-1.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/09/Hotel-Online-Bookings-Can-Be-More-Profitable.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/08/Post-pandemic.webp']"
"['Data Transparency: The New Way to Collaborate in Commercial Teams', 'Are Middle East Hoteliers Ready for the Next Big Shift?', 'Artificial Intelligence in the Hospitality Industry : The Future', 'What is Engage-AI? What are the benefits of using Engage-AI?', 'Enjoy Greater Conversions by Offering Mobile Rates to your Prospective Customers', 'Improving Business by Offering Country Rates to Prospective Customers', 'The Role of Metasearch in Pandemic Recovery', ""Why Forward-looking Demand Intelligence is all the More Important for a Destination and it's DMO Today?"", 'How to Become a Genius and Drive-up Hotel Visibility and Occupancy Rates!']","['7', '5', '6', '7', '7', '6', '6', '5', '5']","['AUGUST 25, 2022', 'JULY 18, 2022', 'JULY 13, 2022', 'JULY 7, 2022', 'JUNE 30, 2022', 'JUNE 21, 2022', 'MAY 31, 2022', 'MARCH 31, 2022', 'MARCH 10, 2022']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/08/Data-Transparency.webp', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/07/Are-Middle-East-Hoteliers-Ready-for-the-Next-Big-Shift.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/06/Blog-En-2-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/06/Blog-En-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/06/Enjoy-greater-conversions-by-offering-Mobile-Rates-to-your-prospective-customers.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/06/Improving-Business-by-Offering-Country-Rates-to-Prospective-Customers.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/05/The-Role-of-Metasearch-in-Pandemic-Recovery.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/03/Actionable-Accurate-Demand-Intelligence-for-DMOs-and-DMCs-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/03/RateGain-RezGain-Become-a-Genius-and-drive-sales-banner.jpg']"
"['Airline Traveler Forecast: Can it help in anticipating demand better?', 'How can User Experience Help Revenue Managers? Ask AirGain', 'The Travel Manifesto for 2022', 'Marketing Technology in a Data-Driven Era', 'Usability and Accessibility – How they are making AirGain smarter for you!', 'Building a Culture of Empowerment', 'Is The Future Of Forecasting Clear For Revenue Managers?', 'Upcoming Launch: The New Room – Rate Management API will Help Distribution Teams Directly and Quickly Create/Retrieve a Multitude of Room Rate Types from RezGain', 'How Revenue Managers Can Be Future Ready For The Next Crisis']","['6', '3', '9', '8', '10', '8', '10', '5', '9']","['MARCH 9, 2022', 'JANUARY 13, 2022', 'DECEMBER 24, 2021', 'OCTOBER 22, 2021', 'OCTOBER 5, 2021', 'OCTOBER 4, 2021', 'SEPTEMBER 29, 2021', 'SEPTEMBER 28, 2021', 'SEPTEMBER 23, 2021']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/03/Leveling-up-Demand-Forecasting-through-Airline-Traveller-Forecast-3.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2022/01/AirGain-new-blog.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/12/RateGain-Blog-Booking-Travel-Manifesto-for-2022.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/10/Data-Driven-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/10/Usability-and-Accessibility-How-they-are-making-AirGain-smarter-for-you.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/10/Building-a-Culture-of-Empowerment.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/09/Is-The.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/09/Directly-Manage-Rooms-and-Rates-from-RateGains-Channel-Manager-UI-to-Booking-com-2.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/09/How-revenue-managers-can-be-future-ready-for-the-next-crisis.jpg']"
"['How Can New Airlines Thrive the Post- Covid World', 'Making Your Hotel Channel Manager Adapt to Your Day', 'CarGain Canvas: Analytics that give you 360 degree control over your market', 'What Signals is the Summer of 2021 Giving Car Rentals?', 'WHAT ARE YOUR PRONOUNS?', 'Bringing More Speed and Agility to Airline Pricing for the Post-COVID Revenue Manager', 'The Current State of Airline Pricing post-Covid', 'How can hoteliers get 2021 right with a solid pricing strategy as volatility in recovery persists', 'Why We Must Tell a Visual Data Story']","['4', '4', '3', '4', '9', '5', '5', '5', '5']","['SEPTEMBER 3, 2021', 'SEPTEMBER 1, 2021', 'SEPTEMBER 1, 2021', 'JULY 8, 2021', 'JUNE 25, 2021', 'JUNE 15, 2021', 'MAY 3, 2021', 'MAY 3, 2021', 'APRIL 30, 2021']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/09/How-Can-New-Airlines-Thrive-In-A-Post-Covid-World-.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/09/How-to-Use-a-Channel-Manager-for-your-Hotel-Operations-if-You-have-Only-15-or-30-Minutes-in-the-Day.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/09/CarGain-Canvas.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/07/What-signals-is-the-summer-of-2021-giving-car-rentals.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/06/Inter-blog-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/06/Unearthing-the-power-and-simplicity-of-bulk-update-and-report-generation-on-AirGain-2.jpeg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/05/How-to-Capture-Rate-Integrity-Issues-in-the-Most-Simplified-Way-copy-1024x536-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/04/How-to-Capture-Rate-Integrity-Issues-in-the-Most-Simplified-Way-copy-1024x536-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/04/Why-we-data-story.jpg']"
"['Airlines Revenue Management Checklist for 2021', ""Cap on Wedding Guests Might Pinch, But It's a Necessary Evil"", 'We have been Profitable Since Inception: Yogeesh Chandra- Global Head of Corporate Development, RateGain', 'Some Employees are Getting a New Job…At Their Old Job', 'Visioning The Post-COVID Era In Revenue Management', '50% Rise in Bookings Not Enough for India to Catch Up With Global Recovery', 'Tech Skills That can Rebuild the Travel Industry', ""After China can 'Revenge Travel' Happen in India?"", 'Travel & Hospitality Sector Will Take 12-15 Months To Cross Pre-covid Level Hiring Figures: Industry Leaders']","['5', '3', '3', '5', '5', '5', '5', '4', '4']","['APRIL 29, 2021', 'DECEMBER 25, 2020', 'DECEMBER 22, 2020', 'DECEMBER 21, 2020', 'DECEMBER 21, 2020', 'DECEMBER 21, 2020', 'DECEMBER 20, 2020', 'DECEMBER 18, 2020', 'DECEMBER 16, 2020']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2021/04/The-Revenue-Management-Checklist-for-2021-3.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/Cap-on-wedding-guests-might-pinch-but-its-a-necessary-evil-3.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/We-have-been-profitable-since-inception-3.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/Some-employees-are-getting-a-new-job-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/Hospitality-Banner-no-cta.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/New-Deal-Europe-Weekly-Update-on-Tourism-to-the-Balkan-Region-Week-24-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/Tech-skills-that-can-rebuild-the-travel-industry-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/After-China-can-Revenge-Travel-happen-in-India-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/Travel-hospitality-sector-will-take-12-15-months-to-cross-pre-Covid-level-hiring-figures-Industry-leaders-1.jpg']"
"['What Hotels Need to Know About the Staycation Boom', 'Here’s How Hoteliers Can Attract New Travelers in the Post-COVID Era', 'How Airline Revenue Management and Pricing Teams Respond to Revenue Volatility?', 'Revenue Volatility in Airlines is Here to Stay: What can Revenue & Pricing Teams do About it?', 'These New Car Rental Subscription Programs Will Get You There', 'Pardon me, your politics are showing', 'New Deal Europe Weekly Update on Tourism to the Balkan Region, Week 24', 'See the Green Shoots of Recovery with Smart Distribution’s latest addition “Future Demand”', ""Seven Tactics to Keep your Hotel's Distribution Healthy and Highly Profitable""]","['4', '5', '5', '5', '5', '4', '4', '5', '8']","['DECEMBER 16, 2020', 'DECEMBER 16, 2020', 'DECEMBER 15, 2020', 'DECEMBER 15, 2020', 'DECEMBER 15, 2020', 'DECEMBER 12, 2020', 'DECEMBER 12, 2020', 'OCTOBER 21, 2020', 'OCTOBER 7, 2020']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/What-Hotels-Need-to-Know-About-the-Staycation-Boom-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/Linkedin-no-cta.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/How-airline-revenue-management-and-pricing-teams-respond-to-revenue-volatility-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/Revenue-volatility-in-airlines-is-here-to-stay-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/These-New-Car-Rental-Subscription-Programs-Will-Get-You-There-2.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/Pardon-me-your-politics-are-showing-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/12/New-Deal-Europe-Weekly-Update-on-Tourism-to-the-Balkan-Region-Week-24-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/10/full-demand-banner-blog-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/10/Seven-Tactics-to-Keep-your-Hotels-Distribution-Healthy-and-Highly-Profitable-1.jpg']"
"['Bespoke Strategies for Opening the Doors to the European Market', 'A New Era of Exploration is Coming to Hoteliers. Stay Tuned!', 'Perspectives with Saurabh Prakash: How Hotels Can Get Digital Right for Recovery', 'Perspectives with Debojo: How Survival Became A Success Metric at SpiceJet', 'Strategies for Hoteliers to Get Back to Business for UK Market', 'Strategies for Hoteliers to Get Back to Business for Europe Market', 'Perspectives #8 with Ajay Bakaya, Managing Director, Sarovar Hotels and Resorts', 'Re-Taking The Skies : What Can Commercial Teams Do To Gear Up For A Full Return Of Airline Travel In The New Normal', 'React to Competitive Prices in Real Time with RateGain’s OPTIMA MarketDrone']","['7', '4', '4', '6', '6', '9', '4', '3', '4']","['AUGUST 25, 2020', 'AUGUST 20, 2020', 'AUGUST 14, 2020', 'JULY 22, 2020', 'JULY 20, 2020', 'JULY 20, 2020', 'JULY 14, 2020', 'JUNE 30, 2020', 'JUNE 15, 2020']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/08/Bespoke-Strategies-for-Opening-the-Doors-to-the-European-Market.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/08/A-New-Era-of-Exploration-is-Coming-to-Hoteliers.-Stay-Tuned.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/08/millienium-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/07/Spice-Blog-Blog.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/07/UK-Blog-Banner-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/07/Blog-Banner-EU-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/07/Perspectives-8-with-Ajay-Bakaya-Managing-Director-Sarovar-Hotels-and-Resorts.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/06/Global-Aviation-Banner.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/06/React-to-Competitive-Prices-in-Real-Time-with-RG.jpg']"
"['Watch Your Language! Content in the New Hospitality Landscape', 'Keeping Lights on During the Current COVID Crisis!', 'Hoteliers, Spot New Markets to Create New Revenues in a Post-COVID 19 World', 'Social Media During COVID-19: Tourism Brands That Got It Right', 'We Are Bracing Ourselves: Are You?', 'How to Capture Rate Integrity Issues in the Most Simplified Way', 'Top 3 Rate Disparity Cases Acceptable to a Revenue Manager', 'Rate Integrity: A Brand New Way of Increasing Direct Bookings', 'Why Choose Rate Intelligence Over Rate Shopping?']","['4', '4', '11', '8', '12', '10', '13', '8', '11']","['JUNE 2, 2020', 'MAY 5, 2020', 'APRIL 23, 2020', 'APRIL 21, 2020', 'MARCH 20, 2020', 'MARCH 11, 2020', 'MARCH 4, 2020', 'FEBRUARY 27, 2020', 'FEBRUARY 19, 2020']","['https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/06/Hospitality-net-banner.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/05/Keeping-Lights-On-During-CoronaVirus-Crisis.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/04/distribution-blog-1200x628-2-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/04/Social-Media-During-COVID-19-Tourism-Brands-That-Got-It-Right.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/03/Covid-Blog.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/02/How-to-Capture-Rate-Integrity-Issues-in-the-Most-Simplified-Way-copy-1024x536-1.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/02/accpteable.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/02/Rate-Integrity-A-Brand-New-Way-of-Increasing-Direct-Bookings-.jpg', 'https://rategaincom.wpenginepowered.com/wp-content/uploads/2020/02/Why-Choose-Rate-Intelligence-Over-Rate-Shopping-1.jpg']"
